env, noise_std, seed, planner_success, collision, success, path_length, num_waypoints, total_nodes
simple, 0.0, 0, True, True, False, 11.835142574414965, 26, 112
simple, 0.0, 1, True, True, False, 12.596739166952759, 27, 110
simple, 0.0, 2, True, True, False, 9.033331291354948, 20, 103
simple, 0.0, 3, True, True, False, 8.49361775982406, 19, 51
simple, 0.0, 4, True, True, False, 9.875075002201298, 22, 54
simple, 0.005, 0, True, True, False, 11.835142574414965, 26, 112
simple, 0.005, 1, True, True, False, 12.596739166952759, 27, 110
simple, 0.005, 2, True, True, False, 9.033331291354948, 20, 103
simple, 0.005, 3, True, True, False, 8.49361775982406, 19, 51
simple, 0.005, 4, True, True, False, 9.875075002201298, 22, 54
simple, 0.01, 0, True, True, False, 11.835142574414965, 26, 112
simple, 0.01, 1, True, True, False, 12.596739166952759, 27, 110
simple, 0.01, 2, True, True, False, 9.033331291354948, 20, 103
simple, 0.01, 3, True, True, False, 8.49361775982406, 19, 51
simple, 0.01, 4, True, True, False, 9.875075002201298, 22, 54
simple, 0.02, 0, True, True, False, 11.835142574414965, 26, 112
simple, 0.02, 1, True, True, False, 12.596739166952759, 27, 110
simple, 0.02, 2, True, True, False, 9.033331291354948, 20, 103
simple, 0.02, 3, True, True, False, 8.49361775982406, 19, 51
simple, 0.02, 4, True, True, False, 9.875075002201298, 22, 54
complex, 0.0, 0, True, True, False, 8.721978077445838, 20, 70
complex, 0.0, 1, True, True, False, 12.745294705768424, 27, 101
complex, 0.0, 2, True, True, False, 9.033331291354948, 20, 100
complex, 0.0, 3, True, True, False, 8.841400396945682, 20, 78
complex, 0.0, 4, True, True, False, 9.247317026524849, 21, 57
complex, 0.005, 0, True, True, False, 8.721978077445838, 20, 70
complex, 0.005, 1, True, True, False, 12.745294705768424, 27, 101
complex, 0.005, 2, True, True, False, 9.033331291354948, 20, 100
complex, 0.005, 3, True, True, False, 8.841400396945682, 20, 78
complex, 0.005, 4, True, True, False, 9.247317026524849, 21, 57
complex, 0.01, 0, True, True, False, 8.721978077445838, 20, 70
complex, 0.01, 1, True, True, False, 12.745294705768424, 27, 101
complex, 0.01, 2, True, True, False, 9.033331291354948, 20, 100
complex, 0.01, 3, True, True, False, 8.841400396945682, 20, 78
complex, 0.01, 4, True, True, False, 9.247317026524849, 21, 57
complex, 0.02, 0, True, True, False, 8.721978077445838, 20, 70
complex, 0.02, 1, True, True, False, 12.745294705768424, 27, 101
complex, 0.02, 2, True, True, False, 9.033331291354948, 20, 100
complex, 0.02, 3, True, True, False, 8.841400396945682, 20, 78
complex, 0.02, 4, True, True, False, 9.247317026524849, 21, 57
