env,noise_std,seed,planner_success,collision,success,path_length,num_waypoints,total_nodes,planning_time
complex,0.0,0,True,False,True,8.721978077445838,20,70,0.04992532730102539
complex,0.0,1,True,False,True,12.745294705768424,27,101,0.03844594955444336
complex,0.0,2,True,False,True,9.033331291354948,20,100,0.05111575126647949
complex,0.0,3,True,False,True,8.841400396945682,20,78,0.1548326015472412
complex,0.0,4,True,False,True,9.24731702652485,21,57,0.03436708450317383
complex,0.005,0,True,False,True,8.721978077445838,20,70,0.04898881912231445
complex,0.005,1,True,True,False,12.745294705768424,27,101,0.03947567939758301
complex,0.005,2,True,False,True,9.033331291354948,20,100,0.05244636535644531
complex,0.005,3,True,False,True,8.841400396945682,20,78,0.15961432456970215
complex,0.005,4,True,False,True,9.24731702652485,21,57,0.03284597396850586
complex,0.01,0,True,False,True,8.721978077445838,20,70,0.0478672981262207
complex,0.01,1,True,True,False,12.745294705768424,27,101,0.038777828216552734
complex,0.01,2,True,False,True,9.033331291354948,20,100,0.05202317237854004
complex,0.01,3,True,True,False,8.841400396945682,20,78,0.16253995895385742
complex,0.01,4,True,False,True,9.24731702652485,21,57,0.034127235412597656
complex,0.02,0,True,False,True,8.721978077445838,20,70,0.04994559288024902
complex,0.02,1,True,True,False,12.745294705768424,27,101,0.0399019718170166
complex,0.02,2,True,False,True,9.033331291354948,20,100,0.05357933044433594
complex,0.02,3,True,True,False,8.841400396945682,20,78,0.16417241096496582
complex,0.02,4,True,False,True,9.24731702652485,21,57,0.03456926345825195
