env, noise_std, seed, planner_success, collision, success, path_length, num_waypoints, total_nodes
simple, 0.0, 0, True, True, False, 9.343930333711489, 23, 63
simple, 0.0, 1, True, True, False, 9.034105723444274, 22, 58
simple, 0.0, 2, True, True, False, 9.214981716601493, 22, 80
simple, 0.0, 3, True, True, False, 7.95430457131829, 24, 66
simple, 0.0, 4, True, True, False, 8.678355641768377, 21, 58
simple, 0.005, 0, True, True, False, 9.343930333711489, 23, 63
simple, 0.005, 1, True, True, False, 9.034105723444274, 22, 58
simple, 0.005, 2, True, True, False, 9.214981716601493, 22, 80
simple, 0.005, 3, True, True, False, 7.95430457131829, 24, 66
simple, 0.005, 4, True, True, False, 8.678355641768377, 21, 58
simple, 0.01, 0, True, True, False, 9.343930333711489, 23, 63
simple, 0.01, 1, True, True, False, 9.034105723444274, 22, 58
simple, 0.01, 2, True, True, False, 9.214981716601493, 22, 80
simple, 0.01, 3, True, True, False, 7.95430457131829, 24, 66
simple, 0.01, 4, True, True, False, 8.678355641768377, 21, 58
simple, 0.02, 0, True, True, False, 9.343930333711489, 23, 63
simple, 0.02, 1, True, True, False, 9.034105723444274, 22, 58
simple, 0.02, 2, True, True, False, 9.214981716601493, 22, 80
simple, 0.02, 3, True, True, False, 7.95430457131829, 24, 66
simple, 0.02, 4, True, True, False, 8.678355641768377, 21, 58
complex, 0.0, 0, True, True, False, 8.295289010695624, 22, 63
complex, 0.0, 1, True, True, False, 10.49095762706958, 28, 89
complex, 0.0, 2, True, True, False, 9.248665301132261, 25, 90
complex, 0.0, 3, True, True, False, 8.789704644093506, 27, 92
complex, 0.0, 4, True, True, False, 8.759163253821473, 26, 68
complex, 0.005, 0, True, True, False, 8.295289010695624, 22, 63
complex, 0.005, 1, True, True, False, 10.49095762706958, 28, 89
complex, 0.005, 2, True, True, False, 9.248665301132261, 25, 90
complex, 0.005, 3, True, True, False, 8.789704644093506, 27, 92
complex, 0.005, 4, True, True, False, 8.759163253821473, 26, 68
complex, 0.01, 0, True, True, False, 8.295289010695624, 22, 63
complex, 0.01, 1, True, True, False, 10.49095762706958, 28, 89
complex, 0.01, 2, True, True, False, 9.248665301132261, 25, 90
complex, 0.01, 3, True, True, False, 8.789704644093506, 27, 92
complex, 0.01, 4, True, True, False, 8.759163253821473, 26, 68
complex, 0.02, 0, True, True, False, 8.295289010695624, 22, 63
complex, 0.02, 1, True, True, False, 10.49095762706958, 28, 89
complex, 0.02, 2, True, True, False, 9.248665301132261, 25, 90
complex, 0.02, 3, True, True, False, 8.789704644093506, 27, 92
complex, 0.02, 4, True, True, False, 8.759163253821473, 26, 68
